Clone Name,Accession,Donor Collection,Donor Name,NA Code
JA 5 /5 [POU],RUQ 1539,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,15408
KER 3,RUQ 406,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), French Guiana",,11220
KER 6,RUQ 408,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), French Guiana",,11222
LCT EEN 15 /S-3,RUQ 685,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,14729
LCT EEN 37 /A,RUQ 148,"USDA-SHRS, United States of America",,5797
LCT EEN 37 /I,RUQ 156,"USDA-SHRS, United States of America",,5805
LCT EEN 68 /S-2,RUQ 1594,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,5841
LCT EEN 162 /S-1010,RUQ 686,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,5975
LCT EEN 163 /A,RUQ 178,"USDA-SHRS, United States of America",,5978
LCT EEN 212 /S-4,RUQ 1665,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,14745
LCT EEN 261 /S-4,RUQ 1452,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,15691
LCT EEN 302,RUQ 687,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,6135
LCT EEN 341 /S-2,RUQ 1548,"Estation Experimental Tropical Pichilingue, Ecuador",,32307
LCT EEN 412,RUQ 1554,"Estation Experimental Tropical Pichilingue, Ecuador",,6282
LF 1,RUQ 17,RBG Kew,LAF 1,6314
LP 3 /4 [POU],RUQ 1750,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,6339
LP 3 /15 [POU],RUQ 1747,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,15238
LP 4 /8 [POU],RUQ 1601,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,6348
LP 4 /20 [POU],RUQ 1676,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,15255
LP 4 /24 [POU],RUQ 1673,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,15256
LP 4 /32 [POU],RUQ 883,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",LP 432,15258
LV 20 [POU],RUQ 354,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,6469
LX 31,RUQ 1591,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,6494
LZ 8,RUQ 1231,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,6512
MAN 15 /2 [BRA],RUQ 86,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,12110
MAN 15 /60 [BRA],RUQ 87,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,12111
MAR 9,RUQ 557,"Barbados Quarantine Station, Barbados",,14758
MATINA 1 /6,RUQ 1715,"USDA-SHRS, United States of America",,15041
MATINA 1 /7,RUQ 1333,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,6563
MO 9,RUQ 1691,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,6601
MO 20,RUQ 1566,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,6606
MO 109,RUQ 1537,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,10420
MOQ 6 /19,RUQ 1530,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,15138
MOQ 6 /95,RUQ 1436,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,6686
N 38 [T38],RUQ 1159,"CIRAD (Centre de Coopération Internationale en Researche Agronomique pour le Développment), France",,6822
NA 26,RUQ 1230,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,6843
NA 33,RUQ 1577,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,6849
NA 70,RUQ 1649,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,6869
NA 111,RUQ 1674,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,6889
NA 149,RUQ 801,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,6904
NA 232,RUQ 1504,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,6942
NA 387,RUQ 1057,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,6995
NA 399,RUQ 1572,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,6997
NA 710,RUQ 1588,"International Cocoa Genebank, Trinidad (ICG,T), Trinidad and Tobago",,7053
