Clone name,Colour dark purple,Colour light purple,Colour white,Colour mottled,Number,Length,Width,Thickness,Wet weight,Cotyledon wet weight,Info,Notes,Refcode,Dry weight,Colour,Colour purple,Shape,Size,Cotyledon dry weight,Cotyledon length,Cotyledon width,Cotyledon thickness,Total wet weight,Total dry weight,Colour grey,Number (max),Accession
TAP 12 [CHA],+,-,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH,CHA70S,,,,,,,,,,,,,,
TAP 13 [CHA],+,-,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH,CHA70S,,,,,,,,,,,,,,
TAP 14 [CHA],+,+,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH,CHA70S,,,,,,,,,,,,,,
TAP 15 [CHA],+,-,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH,CHA70S,,,,,,,,,,,,,,
TAP 2 [CHA],+,-,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH,CHA70S,,,,,,,,,,,,,,
TAP 3 [CHA],+,-,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH,CHA70S,,,,,,,,,,,,,,
TAP 4 [CHA],+,-,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH,CHA70S,,,,,,,,,,,,,,
TAP 5 [CHA],+,-,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH,CHA70S,,,,,,,,,,,,,,
TAP 6 [CHA],+,-,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH,CHA70S,,,,,,,,,,,,,,
TAP 7 [CHA],+,-,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH,CHA70S,,,,,,,,,,,,,,
TAP 8 [CHA],+,-,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH,CHA70S,,,,,,,,,,,,,,
TAP 9 [CHA],+,-,-,-,-,-,-,-,-,-,expedition data,expedition code 73CH,CHA70S,,,,,,,,,,,,,,
A 1122 [MYS],,,,,,,,,,,,,MDA88A,0.97,,,,,,,,,,,,,
A 1235 [MYS],,,,,,,,,,,,,MDA88A,1.23,,,,,,,,,,,,,
A 1451 [MYS],,,,,,,,,,,,,MDA88A,1.12,,,,,,,,,,,,,
A 1537 [MYS],,,,,,,,,,,,,MDA88A,1.35,,,,,,,,,,,,,
A 877 [MYS],,,,,,,,,,,,,MDA88A,1.3,,,,,,,,,,,,,
A 969 [MYS],,,,,,,,,,,,,MDA88A,1.1,,,,,,,,,,,,,
AHUANO 1,,,+,,,,,,,,expedition data,,SOR70A,,-,+,-,-,,,,,,,,,
AHUANO 2,,,+,,,,,,,,expedition data,,SOR70A,,-,+,-,-,,,,,,,,,
AHUANO 3,,,+,,,,,,,,expedition data,,SOR70A,,-,+,-,-,,,,,,,,,
AHUANO 4,,,+,,,,,,,,expedition data,,SOR70A,,-,+,-,-,,,,,,,,,
ANTIGUA URBINA 1,,,+,,,,,,,,expedition data,,SOR70A,,-,+,-,-,,,,,,,,,
ANTIGUA URBINA 2,,,+,,,,,,,,expedition data,,SOR70A,,-,+,-,-,,,,,,,,,
ANTIGUA URBINA 3,,,+,,,,,,,,expedition data,,SOR70A,,-,+,-,-,,,,,,,,,
ARCHIDONA 1,,,-,,,,,,,,expedition data,,SOR70A,,-,+,-,-,,,,,,,,,
ARCHIDONA 2,,,-,,,,,,,,expedition data,,SOR70A,,-,+,-,-,,,,,,,,,
ARCHIDONA 3,,,-,,,,,,,,expedition data,,SOR70A,,-,+,-,-,,,,,,,,,
ARCHIDONA 4,,,-,,,,,,,,expedition data,,SOR70A,,-,+,-,-,,,,,,,,,
ARCHIDONA 5,,,+,,,,,,,,expedition data,,SOR70A,,-,-,-,-,,,,,,,,,
BELLO HORIZONTE 1,,,+,,,,,,,,expedition data,,SOR70A,,-,+,-,-,,,,,,,,,
BELLO HORIZONTE 2,,,+,,,,,,,,expedition data,,SOR70A,,-,-,-,-,,,,,,,,,
BELLO HORIZONTE 3,,,-,,,,,,,,expedition data,,SOR70A,,-,+,-,-,,,,,,,,,
C SUL 10,,,-,,,,,,,,expedition data,,SOR70A,,purple,-,flat,small,,,,,,,,,
C SUL 11,,,-,,,,,,,,expedition data,,SOR70A,,purple,-,flat,small,,,,,,,,,
C SUL 12,,,-,,,,,,,,expedition data,,SOR70A,,purple,-,cylindrical,small,,,,,,,,,
C SUL 2,,,-,,,,,,,,expedition data,,SOR70A,,purple,-,-,small,,,,,,,,,
C SUL 6,,,-,,,,,,,,expedition data,,SOR70A,,purple,-,-,small,,,,,,,,,
C SUL 7,,,-,,,,,,,,expedition data,,SOR70A,,purple,-,flat,medium,,,,,,,,,
CA 1 [BRA],,,-,,,,,,,,expedition data,,SOR70A,,purple,-,cylindrical,medium,,,,,,,,,
CA 2 [BRA],,,-,,,,,,,,expedition data,,SOR70A,,purple,-,oval,medium,,,,,,,,,
CA 3 [BRA],,,-,,,,,,,,expedition data,,SOR70A,,purple,-,flat,medium,,,,,,,,,
CA 4 [BRA],,,-,,,,,,,,expedition data,,SOR70A,,purple,-,cylindrical,small,,,,,,,,,
CA 5 [BRA],,,-,,,,,,,,expedition data,,SOR70A,,purple,-,oval,small,,,,,,,,,
CA 6 [BRA],,,-,,,,,,,,expedition data,,SOR70A,,purple,-,flat,small,,,,,,,,,
CAMPAMENTO 1,,,+,,,,,,,,expedition data,,SOR70A,,-,+,-,-,,,,,,,,,
CJ 1 [BRA],,,-,,,,,,,,expedition data,,SOR70A,,purple,-,flat,small,,,,,,,,,
CJ 10 [BRA],,,-,,,,,,,,expedition data,,SOR70A,,purple,-,-,medium,,,,,,,,,
CJ 11 [BRA],,,-,,,,,,,,expedition data,,SOR70A,,purple,-,flat,small,,,,,,,,,
CJ 12 [BRA],,,-,,,,,,,,expedition data,,SOR70A,,purple,-,flat,medium,,,,,,,,,
CJ 2 [BRA],,,-,,,,,,,,expedition data,,SOR70A,,purple,-,cylindrical,medium,,,,,,,,,
CJ 3 [BRA],,,-,,,,,,,,expedition data,,SOR70A,,purple,-,cylindrical,medium,,,,,,,,,
CJ 4 [BRA],,,-,,,,,,,,expedition data,,SOR70A,,purple,-,flat,medium,,,,,,,,,
CJ 5 [BRA],,,-,,,,,,,,expedition data,,SOR70A,,purple,-,flat,small,,,,,,,,,
CJ 6 [BRA],,,-,,,,,,,,expedition data,,SOR70A,,purple,-,flat,small,,,,,,,,,
CJ 7 [BRA],,,-,,,,,,,,expedition data,,SOR70A,,purple,-,flat,small,,,,,,,,,
CJ 8 [BRA],,,-,,,,,,,,expedition data,,SOR70A,,purple,-,oval,small,,,,,,,,,
CJ 9 [BRA],,,-,,,,,,,,expedition data,,SOR70A,,purple,-,flat,small,,,,,,,,,
FATIMA 2,,,-,,,,,,,,expedition data,,SOR70A,,-,+,-,-,,,,,,,,,
JU 1,,,-,,,,,,,,expedition data,,SOR70A,,purple,-,cylindrical,small,,,,,,,,,
JU 10,,,-,,,,,,,,expedition data,,SOR70A,,purple,-,cylindrical,small,,,,,,,,,
JU 2,,,-,,,,,,,,expedition data,,SOR70A,,purple,-,oval,small,,,,,,,,,
JU 3,,,-,,,,,,,,expedition data,,SOR70A,,light purple,-,flat,small,,,,,,,,,
JU 4,,,-,,,,,,,,expedition data,,SOR70A,,purple,-,flat,small,,,,,,,,,
JU 5,,,-,,,,,,,,expedition data,,SOR70A,,purple,-,flat,small,,,,,,,,,
JU 6,,,-,,,,,,,,expedition data,,SOR70A,,purple,-,cylindrical,large,,,,,,,,,
JU 8,,,-,,,,,,,,expedition data,,SOR70A,,purple,-,cylindrical,small,,,,,,,,,
JU 9,,,-,,,,,,,,expedition data,,SOR70A,,purple,-,cylindrical,small,,,,,,,,,
LIMON COCHA 1,,,+,,,,,,,,expedition data,,SOR70A,,-,-,-,-,,,,,,,,,
