Clone name,Female parent,Male parent,Station,Country,Year,Status,Refcode,Region,Scale,Info,Producer,Parent
PMCT 58,,,"Costa Rica, Centro Agronómico Tropical de Investigación y Enseñanza (CATIE)","PAN,CRI,NIC,HND,GTM,BLZ",,,PHI13A,,,Recommended for commerial planting in Central America.,,
,IMC 60,-,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,,current,SOU12A,,,,PSCC/IRAD,
,UPA 143,-,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,,current,SOU12A,,,,PSCC/IRAD,
,UPA 337,-,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,,current,SOU12A,,,,PSCC/IRAD,
,PA 70,-,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,,current,SOU12A,,,,PSCC/IRAD,
,BBK 726,-,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,,current,SOU12A,,,,PSCC/IRAD,
,P7,-,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,,current,SOU12A,,,,PSCC/IRAD,
,PA 7,-,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,,current,SOU12A,,,,PSCC/IRAD,
,GU 255/V,-,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,,current,SOU12A,,,,PSCC/IRAD,
,GU 144/C,-,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,,current,SOU12A,,,,PSCC/IRAD,
,IMC 67,-,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,,current,SOU12A,,,,PSCC/IRAD,
,PA 107,-,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,,current,SOU12A,,,,PSCC/IRAD,
,PA 150,-,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,,current,SOU12A,,,,PSCC/IRAD,
,SCA 12,-,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,,current,SOU12A,,,,PSCC/IRAD,
,SCA 6,-,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,,current,SOU12A,,,,PSCC/IRAD,
,SCA 24,-,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,,current,SOU12A,,,,PSCC/IRAD,
,T 60/887,-,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,,current,SOU12A,,,,PSCC/IRAD,
,T 79/501,-,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,,current,SOU12A,,,,PSCC/IRAD,
,UPA 134,-,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,,current,SOU12A,,,,PSCC/IRAD,
,-,SNK630,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,,current,SOU12A,,,,PSCC/IRAD,
,-,ICS 84,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,,current,SOU12A,,,,PSCC/IRAD,
,-,SNK15,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,,current,SOU12A,,,,PSCC/IRAD,
,-,SNK413,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,,current,SOU12A,,,,PSCC/IRAD,
,-,SNK64,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,,current,SOU12A,,,,PSCC/IRAD,
,-,SNK608,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,,current,SOU12A,,,,PSCC/IRAD,
,-,SNK620,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,,current,SOU12A,,,,PSCC/IRAD,
,-,TIKO32,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,,current,SOU12A,,,,PSCC/IRAD,
,-,BBK1016,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,,current,SOU12A,,,,PSCC/IRAD,
,-,BBK109,"Cameroon, Institut de Recherche Agricole pour le Développement (IRAD)",Cameroon,,current,SOU12A,,,,PSCC/IRAD,
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,"Jember, East Java",,,Pusat Penelitian Kopi dan Kakao Indonesia,ICS 60
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,"Jember, East Java",,,Pusat Penelitian Kopi dan Kakao Indonesia,GC 7
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,"Jember, East Java",,,Pusat Penelitian Kopi dan Kakao Indonesia,TSH 858
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,"Jember, East Java",,,Pusat Penelitian Kopi dan Kakao Indonesia,SCA 6
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,"Jember, East Java",,,Pusat Penelitian Kopi dan Kakao Indonesia,SCA12
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,North Sumatera,,,Pusat Penelitian Kelapa Sawit,ICS 60
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,North Sumatera,,,Pusat Penelitian Kelapa Sawit,TSH 858
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,North Sumatera,,,Pusat Penelitian Kelapa Sawit,IMC67
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,North Sumatera,,,Pusat Penelitian Kelapa Sawit,SCA12
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,North Sumatera,,,Pusat Penelitian Kelapa Sawit,PA150
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,North Sumatera,,,PT Perkebunan Nusantara II,TSH 539
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,North Sumatera,,,PT Perkebunan Nusantara II,TSH 858
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,North Sumatera,,,PT Perkebunan Nusantara II,TSH654
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,North Sumatera,,,PT Perkebunan Nusantara II,TSH908
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,North Sumatera,,,PT Perkebunan Nusantara II,TSH866
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,North Sumatera,,,PT Perkebunan Nusantara II,ICS60
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,North Sumatera,,,PT Perkebunan Nusantara II,SCA 6
,,,"Indonesia, Indonesian Coffee and Cocoa Research Institute (ICCRI)",Indonesia,,,SUS15A,North Sumatera,,,PT Perkebunan Nusantara IV,ICS60
