Clone name,Accession,Light saturated photosynthetic rate,Stomatal conductance,Transpiration rate,Intrinsic water use efficiency,Instantaneous water use efficiency,Flush size,Leaf area,Leaf dry weight,Specific leaf area,Refcode
SPA 7 [COL],RUQ 1552,4.43,0.07,1.12,79.2,4.29,4,319.2,2.18,147.9,LAH17A
SPA 9 [COL],RUQ 235,2.56,0.05,0.77,55.2,3.44,5,233.0,1.79,130.3,LAH17A
SPEC 194 /15,RUQ 1439,4.85,0.08,1.01,71.87,5.19,4,244.4,1.68,147.0,LAH17A
SPEC 41 /6-18,RUQ 1325,3.0,0.06,0.64,65.81,5.33,6,290.0,2.11,139.4,LAH17A
SPEC 54 /1,RUQ 50,2.96,0.06,0.81,61.95,3.85,5,306.8,1.99,154.9,LAH17A
T 85 /799 [POS],RUQ 855,6.06,0.12,1.38,54.59,4.43,3,231.7,1.59,145.8,LAH17A
T SPECIOSUM,RUQ 1180,6.64,0.15,1.34,47.59,4.85,5,198.8,1.46,135.8,LAH17A
TARS 1,RUQ 1387,5.85,0.13,1.57,45.9,3.97,4,227.7,1.74,133.8,LAH17A
TARS 14,RUQ 1389,5.51,0.12,1.42,45.96,3.9,5,365.4,2.36,157.7,LAH17A
TARS 23,RUQ 1446,4.61,0.07,0.96,69.03,4.82,6,236.1,1.75,135.7,LAH17A
TARS 31,RUQ 1394,3.62,0.05,0.85,73.57,4.32,7,219.6,1.55,143.3,LAH17A
TRD 109,RUQ 1234,2.87,0.05,0.78,65.59,3.83,4,217.5,1.6,136.9,LAH17A
TRD 32,RUQ 1534,6.06,0.11,1.46,53.19,3.88,4,321.2,2.1,156.3,LAH17A
TRD 44,RUQ 1235,5.46,0.11,1.23,47.23,4.21,4,293.5,1.77,174.2,LAH17A
TRD 45,RUQ 1441,5.39,0.1,1.3,57.98,4.2,4,255.4,2.11,120.8,LAH17A
TRD 85,RUQ 1442,5.54,0.08,1.15,70.74,4.99,8,314.3,1.88,171.1,LAH17A
TSA 654,RUQ 1029,4.09,0.05,0.81,96.48,5.17,5,252.8,1.52,166.3,LAH17A
TSA 656,RUQ 1016,5.13,0.11,1.16,54.92,4.45,5,199.2,1.34,150.7,LAH17A
TSAN 792,RUQ 1031,7.47,0.17,1.66,47.36,4.52,4,202.3,1.39,146.0,LAH17A
TSH 516,RUQ 1018,5.69,0.09,1.26,62.84,4.46,5,246.5,1.62,155.5,LAH17A
TSH 774,RUQ 1020,3.89,0.07,0.86,65.22,4.6,4,170.1,1.25,138.6,LAH17A
U 45 [PER],RUQ 1495,5.4,0.14,1.35,45.24,4.15,6,217.6,1.5,146.9,LAH17A
U 70 [PER],RUQ 1488,5.33,0.19,1.68,32.96,3.26,6,268.5,2.01,134.1,LAH17A
