Clone name,Self compatibility,Refcode,Bud colour,Ligule colour,Stamen colour,Guide line length,Sepal colour,Sepal width,Sepal length,Sepal length width,Ligule length,Ligule width,Ligule length width,Ribbon length,Ribbon colour,Ovary colour,Ovary width,Ovary length,Ovary length width,Ovule number,Style colour,Style length,Staminode colour,Staminode length,Pedicel length,Hairs,Pigmented glands,Horns,Pigmented spot,Notes,Stamen size,Sepal size,Ligule size,Pedicel size,Accession,Sepal orientation,Sepal shape,Ligule shape,Info,Petal length
SIC 831,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC 842,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC 848,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC 864,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC 872,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC 876,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC 891,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC 961,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNK 12,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPA 11 [COL],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPA 12 [COL],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPA 17 [COL],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPA 7 [COL],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPA 9 [COL],self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPEC 54 /1,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSA 641,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSA 644,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSA 654,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSA 656,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSH 516,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSH 565,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 10,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 11,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 12,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 168,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 221,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 242,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 29,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 296,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 36,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 613,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 650,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 654,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 667,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 668,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 672,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 677,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 703,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 705,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 707,self compatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 708,self incompatible,CEP87A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
