Clone name,Self compatibility,Refcode,Ligule colour,Stamen colour,Sepal length,Ligule width,Ovule number,Style length
SLC 1,,BEKAD1,slight anthocyanin,slight anthocyanin,8.46,2.63,50.0,2.61
SLC 11,,BEKAD1,anthocyanin absent,intense anthocyanin,8.39,2.08,36.0,2.44
SLC 12,,BEKAD1,slight anthocyanin,slight anthocyanin,7.97,2.32,42.0,2.61
SLC 18,,BEKAD1,slight anthocyanin,slight anthocyanin,8.13,2.21,42.0,2.1
SLC 19,,BEKAD1,slight anthocyanin,slight anthocyanin,7.86,3.08,42.0,2.67
SLC 24,,BEKAD1,slight anthocyanin,moderate anthocyanin,8.56,2.98,45.0,2.66
SLC 25,,BEKAD1,slight anthocyanin,intense anthocyanin,7.77,2.28,39.0,2.46
SLC 3,,BEKAD1,slight anthocyanin,slight anthocyanin,9.07,2.41,45.0,2.44
SLC 4,,BEKAD1,slight anthocyanin,moderate anthocyanin,8.5,2.63,45.0,2.32
SLC 7,,BEKAD1,slight anthocyanin,slight anthocyanin,7.86,2.35,45.0,2.46
SLC 8,,BEKAD1,slight anthocyanin,moderate anthocyanin,8.26,2.36,43.0,2.7
SM 18 [POU],,BEKAD1,slight anthocyanin,anthocyanin absent,6.48,2.28,42.0,2.36
SM 2 [POU],,BEKAD1,slight anthocyanin,moderate anthocyanin,6.34,2.13,38.0,2.17
SM 5 [POU],,BEKAD1,intense anthocyanin,slight anthocyanin,9.3,2.82,43.0,2.59
SM 6 [POU],,BEKAD1,anthocyanin absent,anthocyanin absent,7.57,2.18,43.0,2.46
SM 9 [POU],,BEKAD1,slight anthocyanin,slight anthocyanin,8.16,2.4,42.0,2.9
SNK 12,,BEKAD1,slight anthocyanin,anthocyanin absent,7.68,2.5,41.0,2.28
SP 1 [VEN],,BEKAD1,moderate anthocyanin,slight anthocyanin,6.78,2.37,51.0,1.99
SPA 10 [COL],,BEKAD1,moderate anthocyanin,slight anthocyanin,6.37,2.62,54.0,2.31
SPA 11 [COL],,BEKAD1,moderate anthocyanin,intense anthocyanin,6.93,2.0,48.0,1.78
SPA 12 [COL],,BEKAD1,moderate anthocyanin,moderate anthocyanin,8.22,2.82,51.0,2.52
SPA 16 [COL],,BEKAD1,moderate anthocyanin,intense anthocyanin,7.16,2.78,47.0,2.74
SPA 18 [COL],,BEKAD1,moderate anthocyanin,moderate anthocyanin,6.51,2.33,50.0,2.37
SPA 20 [COL],,BEKAD1,moderate anthocyanin,moderate anthocyanin,7.37,2.77,52.0,2.31
SPA 4 [COL],,BEKAD1,slight anthocyanin,slight anthocyanin,6.86,2.64,44.0,2.01
