Clone name,Colour,Shape,Number,Total wet weight,Cotyledon dry weight,Cotyledon length,Cotyledon width
SPEC 41 /6-29,purple,elliptical,23.0,25.0,0.69,21.6,10.9
SPEC 41 /6-37,dark purple,oblong,40.0,57.1,0.96,22.4,12.0
SPEC 54 /1,dark purple,elliptical,34.0,48.7,0.94,21.0,11.3
SPEC 54 /2,purple,oblong,36.0,58.9,1.05,23.0,12.8
STAHEL,purple,elliptical,36.0,52.2,0.91,21.1,12.5
TAP 10 [CHA],dark purple,elliptical,49.0,80.9,1.04,23.1,12.6
TAP 12 [CHA],dark purple,elliptical,30.0,39.6,0.86,19.9,12.2
TAP 7 [CHA],dark purple,elliptical,41.0,61.7,1.0,22.9,12.0
TRD 1,dark purple,oblong,36.0,63.0,1.03,25.3,12.6
TRD 109,purple,elliptical,42.0,75.7,1.14,24.6,13.2
TRD 110,dark purple,elliptical,35.0,56.2,1.01,21.1,12.6
TRD 111,dark purple,elliptical,37.0,52.2,0.78,20.4,11.2
TRD 112,purple,elliptical,30.0,42.8,0.91,20.8,11.6
TRD 113,purple,ovate,50.0,69.0,0.88,22.2,11.4
TRD 115,purple,oblong,33.0,58.7,1.21,23.4,12.5
TRD 116,dark purple,oblong,41.0,70.8,1.08,22.1,12.9
TRD 117,dark purple,elliptical,45.0,77.0,1.15,23.6,12.8
TRD 118,purple,ovate,33.0,64.2,1.22,24.9,13.7
TRD 119,dark purple,ovate,39.0,62.6,1.08,24.4,12.8
TRD 13,dark purple,elliptical,43.0,56.4,0.94,20.7,12.3
TRD 15,dark purple,oblong,46.0,75.9,1.0,22.8,12.5
TRD 16,purple,elliptical,34.0,67.4,1.29,23.7,13.7
TRD 18,dark purple,elliptical,28.0,52.9,1.27,23.4,13.6
TRD 19,purple,elliptical,35.0,66.2,1.14,21.8,14.7
TRD 2,purple,ovate,42.0,77.5,1.14,22.8,14.6
TRD 23,dark purple,elliptical,38.0,73.4,1.19,23.9,13.1
TRD 24,purple,elliptical,39.0,61.7,0.99,22.8,12.4
TRD 28,dark purple,elliptical,41.0,57.9,0.94,20.5,11.2
TRD 29,dark purple,oblong,39.0,48.1,0.82,19.9,10.5
TRD 3,dark purple,elliptical,33.0,58.4,1.01,23.6,12.3
TRD 30,purple,ovate,40.0,75.6,1.13,23.6,14.4
TRD 32,dark purple,elliptical,44.0,57.6,0.91,21.5,11.5
TRD 33,purple,elliptical,31.0,42.6,0.86,20.5,12.6
TRD 34,dark purple,oblong,34.0,61.2,1.17,25.1,13.1
TRD 35,dark purple,elliptical,41.0,96.5,1.59,25.6,14.4
TRD 37,dark purple,elliptical,34.0,52.4,0.91,21.9,12.6
TRD 38,dark purple,elliptical,34.0,52.5,0.93,22.9,13.0
TRD 41,purple,elliptical,38.0,59.5,1.0,21.3,12.4
TRD 42,dark purple,elliptical,33.0,64.2,1.26,22.9,13.2
TRD 43,dark purple,elliptical,37.0,61.8,1.11,21.1,13.7
TRD 44,purple,oblong,43.0,79.0,1.12,21.7,11.4
TRD 45,dark purple,elliptical,36.0,81.6,1.41,24.6,14.3
TRD 46,dark purple,oblong,38.0,90.2,1.43,27.0,14.0
TRD 47,dark purple,elliptical,36.0,59.9,1.11,20.3,13.6
TRD 48,dark purple,oblong,34.0,61.1,1.11,22.9,12.7
TRD 49,purple,oblong,42.0,66.8,0.91,22.2,11.8
TRD 5,purple,elliptical,29.0,42.5,0.89,22.5,12.1
TRD 50,dark purple,elliptical,45.0,59.9,0.96,22.3,12.3
TRD 52,dark purple,oblong,37.0,60.7,1.26,22.8,13.0
TRD 58,dark purple,oblong,32.0,55.4,1.25,23.8,12.7
TRD 6,mottled,oblong,36.0,50.5,0.82,21.1,11.7
TRD 60,purple,elliptical,40.0,65.7,1.06,23.1,13.3
TRD 66,dark purple,elliptical,33.0,61.2,1.2,24.4,13.9
TRD 7,dark purple,elliptical,37.0,44.4,0.7,20.5,11.2
TRD 75,purple,oblong,36.0,65.2,1.11,23.2,12.6
TRD 79,dark purple,oblong,39.0,60.9,0.96,22.6,12.1
TRD 8,dark purple,oblong,31.0,51.3,0.98,21.6,12.4
TRD 81,dark purple,oblong,31.0,66.0,1.44,23.5,13.8
TRD 85,purple,elliptical,32.0,51.7,1.18,21.5,14.2
TRD 86,light purple,ovate,42.0,73.9,1.08,22.7,15.2
TRD 88,purple,elliptical,42.0,44.2,0.69,21.5,11.7
TRD 9,dark purple,oblong,39.0,62.8,0.94,23.0,12.3
TRD 90,dark purple,elliptical,32.0,56.5,1.17,23.5,12.3
TRD 93,dark purple,elliptical,39.0,70.9,1.18,25.4,13.8
TRD 94,dark purple,elliptical,41.0,58.0,1.02,22.2,12.7
TRD 95,dark purple,oblong,37.0,57.5,1.02,22.8,11.8
TRD 99,dark purple,oblong,42.0,52.4,0.8,21.4,10.5
UF 11,purple,ovate,39.0,101.0,1.84,27.2,15.1
UF 12,purple,ovate,38.0,86.1,1.77,26.9,15.3
UF 122,purple,ovate,38.0,51.9,0.87,23.2,13.0
UF 168,purple,ovate,40.0,59.1,1.05,23.0,14.1
UF 191,dark purple,oblong,34.0,70.8,1.35,25.9,13.1
UF 221,dark purple,elliptical,40.0,81.9,1.47,25.0,14.6
UF 29,purple,elliptical,45.0,75.0,1.15,22.8,12.4
UF 38,purple,ovate,37.0,63.0,1.14,24.5,13.9
UF 4,purple,elliptical,41.0,64.7,1.03,22.0,12.1
UF 602,purple,elliptical,40.0,74.2,1.17,23.6,13.6
UF 613,purple,oblong,39.0,62.9,0.95,23.0,12.5
UF 654,dark purple,ovate,43.0,66.6,1.02,22.4,12.6
UF 667,purple,ovate,36.0,50.2,0.99,23.0,13.4
UF 668,purple,ovate,27.0,53.8,1.43,24.7,15.0
UF 676,dark purple,elliptical,39.0,85.8,1.49,25.7,14.8
UF 677,light purple,ovate,39.0,54.1,0.73,22.1,13.6
UF 700,purple,oblong,35.0,58.5,1.0,24.0,12.0
UF 709,light purple,ovate,39.0,53.6,0.85,22.6,12.4
VEN A 58 [ICT],purple,elliptical,46.0,60.6,1.05,22.7,12.0
VEN B 47 [ICT],dark purple,oblong,41.0,59.2,1.09,22.1,12.2
VEN B 56 [ICT],purple,elliptical,46.0,53.3,0.75,21.3,11.1
VEN B 66 [ICT],purple,elliptical,43.0,51.1,0.72,19.3,10.2
VENC 4 /4 [FRA],purple,elliptical,40.0,49.5,0.84,21.5,12.0
YAL 1 /S2,dark purple,oblong,45.0,55.5,0.98,23.1,11.9
YAL 5/T,dark purple,elliptical,35.0,59.7,1.14,22.5,13.2
YAL 6 /S3,dark purple,elliptical,34.0,46.7,0.91,20.7,12.1
YAL 6 /S4,purple,elliptical,36.0,45.8,0.78,20.3,12.3
