Clone name,Shape,Basal constriction,Apex form,Rugosity,Furrow desc,Length,Breadth,Colour,Hardness,Info
NA 268,elliptical,moderate,acute,moderate,paired and intermediate separation,145.0,75.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 271,elliptical,moderate,obtuse,moderate,paired and intermediate separation,164.0,81.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
NA 279,elliptical,slight,obtuse,moderate,paired and intermediate separation,150.0,73.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 283,elliptical,slight,obtuse,moderate,paired and wide separation,135.0,69.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 286,elliptical,slight,mammillate,moderate,paired and intermediate separation,143.0,64.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
NA 289,elliptical,moderate,acute,moderate,paired and slight separation,138.0,65.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 3,elliptical,strong,obtuse,moderate,paired and intermediate separation,173.0,77.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 300,obovate,moderate,rounded,moderate,paired and intermediate separation,156.0,78.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 311,elliptical,moderate,obtuse,moderate,paired and wide separation,152.0,72.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
NA 312,oblong,strong,attenuate,intense,paired and intermediate separation,169.0,73.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
NA 32,elliptical,slight,acute,moderate,paired and intermediate separation,138.0,68.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 320,elliptical,slight,acute,slight,paired and intermediate separation,162.0,79.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 326,elliptical,slight,mammillate,slight,paired and wide separation,131.0,68.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
NA 327,oblong,strong,acute,moderate,paired and slight separation,162.0,69.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
NA 329,elliptical,slight,indented,moderate,paired and intermediate separation,134.0,66.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 33,elliptical,moderate,acute,intense,paired and slight separation,144.0,71.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
NA 331,elliptical,slight,obtuse,moderate,paired and slight separation,151.0,71.0,anthocyanin absent,-,-
NA 335,elliptical,slight,mammillate,moderate,paired and wide separation,142.0,69.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 337,elliptical,slight,indented,slight,paired and wide separation,124.0,69.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 339,elliptical,moderate,acute,slight,paired and intermediate separation,176.0,90.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 34,elliptical,strong,attenuate,intense,paired and wide separation,160.0,78.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 342,obovate,slight,obtuse,slight,paired and intermediate separation,135.0,71.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 358,elliptical,moderate,indented,moderate,paired and intermediate separation,159.0,73.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 359,elliptical,slight,obtuse,moderate,paired and intermediate separation,132.0,75.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 370,elliptical,moderate,indented,moderate,paired and intermediate separation,147.0,75.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 371,elliptical,slight,obtuse,intense,paired and wide separation,144.0,87.0,anthocyanin absent,-,-
NA 372,oblong,strong,attenuate,slight,paired and wide separation,178.0,69.0,anthocyanin absent,-,-
NA 387,elliptical,strong,acute,moderate,paired and slight separation,165.0,78.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 39,elliptical,slight,acute,slight,paired and intermediate separation,133.0,62.0,anthocyanin absent,-,-
NA 395,elliptical,moderate,obtuse,slight,paired and intermediate separation,155.0,80.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
NA 399,obovate,slight,obtuse,moderate,paired and slight separation,134.0,71.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
NA 40,elliptical,slight,mammillate,slight,paired and intermediate separation,162.0,80.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 406,elliptical,slight,indented,moderate,paired and intermediate separation,128.0,73.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 409,oblong,slight,obtuse,moderate,paired and intermediate separation,168.6,89.1,anthocyanin absent,-,-
NA 423,elliptical,moderate,obtuse,slight,paired and wide separation,149.0,78.0,anthocyanin absent,soft,Hardness <= 1.6 Mpa
NA 427,elliptical,moderate,acute,moderate,paired and intermediate separation,142.0,69.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 43,elliptical,moderate,acute,moderate,paired and intermediate separation,145.0,69.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 432,elliptical,moderate,indented,slight,paired and intermediate separation,145.0,81.0,anthocyanin absent,-,-
NA 435,elliptical,slight,obtuse,moderate,paired and intermediate separation,137.0,67.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
NA 444,elliptical,moderate,indented,intense,paired and slight separation,170.0,86.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 45,elliptical,slight,obtuse,slight,paired and intermediate separation,175.0,82.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
NA 46,elliptical,moderate,acute,slight,paired and intermediate separation,156.0,73.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 462,obovate,moderate,mammillate,moderate,paired and wide separation,143.0,76.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 47,oblong,moderate,attenuate,intense,paired and slight separation,175.0,73.0,anthocyanin absent,-,-
NA 471,elliptical,moderate,obtuse,intense,paired and intermediate separation,164.0,86.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
NA 475,elliptical,moderate,obtuse,moderate,paired and intermediate separation,150.0,73.0,anthocyanin absent,moderate,Hardness > 1.6 and <= 2.0 Mpa
NA 48,elliptical,slight,acute,moderate,paired and intermediate separation,149.0,72.0,anthocyanin absent,-,-
NA 49,elliptical,moderate,attenuate,slight,paired and intermediate separation,159.0,69.0,anthocyanin absent,-,-
NA 504,elliptical,strong,obtuse,moderate,paired and wide separation,144.0,68.0,anthocyanin absent,hard,Hardness > 2.0 Mpa
