Clone name,Pod index
ELP 2 /S4,35.9
ELP 20 A,32.1
ELP 20 /S3,41.5
ELP 22 /S10,29.0
ELP 28 /S4,38.3
ELP 28 /S6,37.5
ELP 30 /S5,54.2
ELP 32 /S3,41.4
ELP 32 /S4,48.8
ELP 34 /S13,44.1
ELP 34 /S7,34.8
ELP 35 B,37.0
ELP 35 /S4,42.7
ELP 40 B,36.1
ELP 40 /S9,32.2
ELP 41 /S5,36.1
ELP 7 /S2,34.4
ELP 7 /S7,41.1
ELP 8 A,35.6
ELP 8 /S3,30.1
ELP 9 /S2,27.9
ELP 9 /S4,27.9
EQX /J [CHA],27.0
EQX /Z [CHA],22.4
EQX 3164 [CHA],23.3
EQX 69 [EQX],30.9
FSC 13,19.9
G 8 [GET],23.6
GA 11 [HAI],20.4
GC T 998 /2,23.6
GC T 998 /59,23.1
GC T 998 /60,25.6
GC T 998 /66,35.8
GC T 998 /76,42.5
GC T 998 /96,32.7
GC T 999 /59,23.6
GDL 1,19.8
GDL 11,23.1
GDL 2,28.8
GDL 3,27.7
GDL 7,24.6
GNV 22,25.6
GS 1,21.3
GS 10,17.2
GS 12,23.8
GS 13,23.1
GS 15,23.1
GS 16,26.8
GS 26,21.4
GS 29,17.6
GS 32,31.9
GS 36,23.2
GS 37,25.1
GS 39,31.1
GS 4,18.1
GS 45,27.5
GS 48,24.1
GS 50,27.6
GS 53,21.1
GS 55,26.6
GS 58,25.0
GS 59,22.6
GS 6,22.7
GS 60,27.2
GS 61,23.4
GS 62,25.3
GS 66,18.8
GS 67,22.9
GS 70,29.1
GS 74,27.0
GS 76,21.7
GS 77,26.4
GS 78,20.8
GS 79,21.0
GU 114 /P,30.2
GU 133 /C,32.2
GU 144 /C,32.9
GU 151 /F,42.7
GU 154 /C,34.7
GU 168 /H,31.6
GU 169,33.2
GU 175 /P,29.9
GU 192,42.6
GU 195 /P,37.7
GU 202 /A,26.5
GU 207 /H,43.3
GU 215 /A,34.0
GU 219 /F,62.0
GU 222,27.0
GU 241 /P,41.0
GU 243 /H,32.7
GU 255 /P,35.6
GU 255 /V,37.1
GU 259 /C,35.1
GU 261 /P,38.1
GU 265 /P,33.9
GU 271 /P,42.6
GU 277 /G,32.5
GU 286 /P,28.4
GU 300 /P,41.9
GU 305 /P,30.4
GU 307 /F,33.1
GU 310 /P,39.8
GU 322 /P,38.3
GU 335 /P,40.1
GU 339 /M,71.3
GU 341 /H,36.2
GU 351 /P,33.2
GU 353 /L,36.8
ICA 70 [COL],19.9
ICS 1,19.9
ICS 10,22.2
ICS 100,25.2
ICS 111,19.0
ICS 12,27.1
ICS 14,26.3
ICS 15,20.4
ICS 16,17.3
ICS 17,20.6
ICS 18,18.2
ICS 2,20.7
ICS 20,24.6
ICS 22,27.1
ICS 24,29.4
ICS 25,28.3
ICS 26,26.1
ICS 27,20.0
ICS 3,24.5
ICS 30,28.3
ICS 35,33.7
ICS 36,20.5
ICS 39,22.1
ICS 4,26.4
ICS 40,20.8
ICS 41,33.2
ICS 42,22.3
ICS 43,16.0
ICS 45,21.3
ICS 46,22.6
ICS 47,20.7
ICS 48,20.1
ICS 49,26.2
ICS 5,17.0
ICS 53,24.7
ICS 57,23.7
ICS 58,21.5
ICS 59,21.7
ICS 6,17.5
ICS 60,15.6
ICS 61,26.2
ICS 62,17.0
ICS 63,19.6
ICS 65,32.6
ICS 66,38.9
ICS 67,24.7
ICS 68,15.9
ICS 69,23.6
ICS 7,17.1
ICS 70,26.4
ICS 72,25.3
ICS 73,23.6
ICS 75,18.7
ICS 76,31.6
ICS 77,32.2
ICS 8,19.8
ICS 80,23.3
ICS 82,21.9
ICS 83,20.5
ICS 84,28.3
ICS 85,19.7
ICS 86,32.3
ICS 87,26.0
ICS 88,18.3
ICS 89,28.3
ICS 90,21.4
ICS 92,20.7
ICS 93,19.4
ICS 94,26.7
ICS 95,22.1
ICS 96,23.9
ICS 97,23.8
ICS 98,30.5
ICS 99,23.4
IMC 10,16.9
IMC 103,25.3
IMC 104,31.3
IMC 105,22.6
IMC 107,23.0
IMC 11,27.8
IMC 12,27.2
IMC 13,24.2
IMC 14,25.2
IMC 16,25.3
IMC 18,27.0
IMC 2,22.1
IMC 20,23.1
IMC 22,28.2
IMC 23,26.1
IMC 27,19.7
IMC 3,18.7
IMC 30,25.5
IMC 31,23.1
IMC 33,18.9
IMC 36,22.8
IMC 38,25.3
IMC 39,20.7
IMC 41,25.8
IMC 42,25.0
IMC 44,22.6
IMC 45,22.6
IMC 47,27.4
IMC 48,21.8
IMC 49,25.7
IMC 5,30.4
IMC 50,29.3
IMC 51,33.5
IMC 53,25.0
IMC 54,25.0
IMC 55,23.2
IMC 57,22.9
IMC 58,24.4
IMC 59,24.4
IMC 6,23.9
IMC 60,21.3
IMC 61,19.9
IMC 63,20.7
IMC 65,18.9
IMC 66,24.2
IMC 67,20.0
IMC 68,20.0
IMC 71,19.4
IMC 73,22.4
IMC 76,23.9
IMC 77,20.4
IMC 78,23.3
IMC 81,26.1
IMC 83,21.7
IMC 85,29.1
IMC 9,24.7
IMC 94,21.1
IMC 96,24.5
IMC 97,16.0
IMC 98,29.3
JA 1 /10 [POU],19.1
JA 1 /11 [POU],18.9
JA 1 /12 [POU],21.4
JA 1 /13 [POU],23.2
JA 1 /14 [POU],25.3
JA 1 /15 [POU],30.2
JA 1 /17 [POU],18.3
JA 1 /18 [POU],18.9
JA 1 /19 [POU],23.1
JA 1 /2 [POU],21.2
JA 1 /20 [POU],25.7
JA 1 /21 [POU],26.7
JA 1 /23 [POU],28.9
JA 1 /25 [POU],23.3
JA 1 /29 [POU],21.6
JA 1 /3 [POU],22.1
JA 1 /4 [POU],23.5
JA 1 /5 [POU],22.4
JA 1 /6 [POU],19.7
JA 1 /9 [POU],20.0
JA 10 /11 [POU],20.3
JA 10 /12 [POU],37.5
JA 10 /16 [POU],19.5
JA 10 /31 [POU],27.7
JA 10 /32 [POU],25.7
JA 10 /33 [POU],24.3
JA 10 /34 [POU],28.6
JA 10 /35 [POU],24.5
JA 10 /38 [POU],30.0
JA 10 /4 [POU],19.7
JA 10 /40 [POU],24.9
JA 10 /41 [POU],21.1
JA 10 /42 [POU],22.8
JA 10 /46 [POU],26.2
JA 10 /5 [POU],26.5
JA 10 /51 [POU],26.7
JA 10 /52 [POU],20.7
JA 10 /54 [POU],19.1
JA 10 /55 [POU],22.9
JA 10 /6 [POU],30.9
JA 2 /11 [POU],24.8
JA 2 /12 [POU],21.8
JA 2 /18 [POU],24.7
JA 2 /2 [POU],18.1
JA 2 /21 [POU],17.1
JA 2 /26 [POU],27.2
JA 2 /4 [POU],27.8
JA 2 /6 [POU],23.5
JA 2 /8 [POU],32.8
JA 3 /11 [POU],22.8
JA 3 /14 [POU],26.5
JA 3 /16 [POU],20.3
JA 3 /18 [POU],22.4
JA 3 /2 [POU],27.1
JA 3 /20 [POU],20.8
JA 3 /22 [POU],28.2
JA 3 /27 [POU],25.0
JA 3 /28 [POU],27.2
JA 3 /29 [POU],20.9
JA 3 /30 [POU],25.9
JA 3 /32 [POU],23.1
JA 3 /35 [POU],18.5
JA 3 /38 [POU],33.0
JA 3 /39 [POU],23.0
JA 3 /4 [POU],19.4
JA 3 /5 ]POU[,23.9
JA 3 /9 [POU],42.0
JA 4 /14 [POU],21.5
JA 4 /17 [POU],27.0
JA 4 /21 [POU],24.5
JA 4 /28 [POU],25.5
JA 4 /7 [POU],17.9
JA 4 /9 [POU],41.1
JA 5 /10 [POU],22.4
JA 5 /11 [POU],23.7
JA 5 /18 [POU],29.2
JA 5 /19 [POU],27.8
JA 5 /2 [POU],21.5
JA 5 /21 [POU],17.5
JA 5 /23 [POU],31.3
JA 5 /24 [POU],18.5
JA 5 /25 [POU],19.1
JA 5 /26 [POU],21.6
JA 5 /27 [POU],30.1
JA 5 /28 [POU],22.6
JA 5 /31 [POU],17.2
JA 5 /34 [POU],25.5
JA 5 /35 [POU],17.0
JA 5 /36 [POU],15.5
JA 5 /37 [POU],21.8
JA 5 /38 [POU],17.9
JA 5 /39 [POU],22.9
JA 5 /4 [POU],23.5
JA 5 /40 [POU],23.4
JA 5 /41 [POU],18.6
JA 5 /42 [POU],27.1
JA 5 /47 [POU],17.9
JA 5 /5 [POU],19.7
JA 5 /7 [POU],15.8
JA 5 /8 [POU],22.6
JA 5 /9 [POU],20.9
JA 6 /1 [POU],28.9
JA 6 /12 [POU],33.3
JA 6 /2 [POU],36.3
JA 6 /4 [POU],25.1
JA 6 /7 [POU],25.8
JA 6 /9 [POU],34.5
JA 7 /11 [POU],21.7
JA 7 /25 [POU],24.1
JA 7 /3 [POU],23.6
JA 8 /1 [POU],30.1
JA 8 /13 [POU],23.5
JA 8 /15 [POU],31.3
JA 8 /16 [POU],22.9
JA 8 /19 [POU],21.9
JA 8 /20 [POU],26.6
JA 8 /21 [POU],30.2
JA 8 /24 [POU],25.5
JA 8 /25 [POU],22.7
JA 8 /26 [POU],27.5
JA 8 /3 [POU],30.5
JA 8 /33 [POU],38.7
JA 8 /38 [POU],21.9
JA 8 /42 [POU],23.6
JA 9 /10 [POU],21.4
JA 9 /12 [POU],23.9
JA 9 /13 [POU],24.7
JA 9 /14 [POU],34.6
