Clone name,Seed index,Productivity,Notes
UF 168,52.0,medium,Accession TUR10543
UF 20,75.1,medium,Accession TUR10536
UF 210,95.2,low,Accession TUR10544
UF 221,68.4,high,Accession TUR10545
UF 242,74.0,medium - high,Accession TUR10546
UF 273,76.3,medium,Accession TUR10547
UF 29,86.2,medium,Accession TUR10537
UF 296,84.0,high,Accession TUR10548
UF 296,86.2,medium,Accession TUR10549
UF 36,84.0,high,Accession TUR10540
UF 4,84.0,high,Accession TUR10532
UF 601,51.2,medium - high,Accession TUR10550
UF 602,64.9,low - medium,Accession TUR10551
UF 613,-,low,Accession TUR10556
UF 613,70.9,low,Accession TUR10554
UF 650,50.2,medium,Accession TUR10557
UF 654,54.0,high,Accession TUR10558
UF 666,64.9,medium,Accession TUR10559
UF 667,54.9,high,Accession TUR10560
UF 667,86.2,low,Accession TUR10562
UF 667,-,low,Accession TUR10561
UF 668,53.7,medium - high,Accession TUR10563
UF 672,90.9,high,Accession TUR10564
UF 676,52.6,high,Accession TUR10565
UF 677,56.8,medium - high,Accession TUR10566
UF 700,53.4,medium,Accession TUR10568
UF 700,105.2,low,Accession TUR10567
UF 701,69.9,high,Accession TUR10569
UF 703,120.4,high,Accession TUR10570
UF 704,-,very low - low,Accession TUR12875
UF 705,80.0,medium,Accession TUR10571
UF 706,85.4,very low - low,Accession TUR10572
UF 707,64.5,medium,Accession TUR10573
UF 708,64.1,low,Accession TUR10574
UF 709,67.1,medium - high,Accession TUR10575
UF 710,75.7,low,Accession TUR10576
UF 711,64.1,medium,Accession TUR10577
UF 712,86.2,low - medium,Accession TUR10578
UF 713,76.3,low - medium,Accession TUR10579
UF 714,-,very low,Accession TUR10580
UF 715,77.5,high,Accession TUR10581
UF 716,-,very low,Accession TUR10582
UF 717,77.5,low,Accession TUR10583
UF 93,76.3,low,Accession TUR10541
X VERDE,45.2,low,Accession TUR10584
