Clone name,Testa
JA 5 /4 [POU],6.3
JA 5 /40 [POU],5.9
JA 5 /41 [POU],5.4
JA 5 /42 [POU],6.1
JA 5 /47 [POU],6.3
JA 5 /5 [POU],4.3
JA 5 /7 [POU],5.8
JA 5 /8 [POU],6.7
JA 5 /9 [POU],5.7
JA 6 /1 [POU],6.7
JA 6 /12 [POU],7.1
JA 6 /2 [POU],5.8
JA 6 /4 [POU],6.0
JA 6 /7 [POU],4.2
JA 6 /9 [POU],5.2
JA 7 /11 [POU],6.9
JA 7 /25 [POU],5.8
JA 7 /3 [POU],5.8
JA 8 /1 [POU],6.2
JA 8 /13 [POU],5.8
JA 8 /15 [POU],6.1
JA 8 /16 [POU],5.4
JA 8 /19 [POU],5.1
JA 8 /20 [POU],5.5
JA 8 /21 [POU],7.1
JA 8 /24 [POU],4.8
JA 8 /25 [POU],5.6
JA 8 /26 [POU],4.6
JA 8 /3 [POU],5.6
JA 8 /33 [POU],5.6
JA 8 /38 [POU],6.2
JA 8 /42 [POU],4.7
JA 9 /10 [POU],5.2
JA 9 /12 [POU],5.2
JA 9 /13 [POU],5.0
JA 9 /14 [POU],4.9
JA 9 /16 [POU],7.3
JA 9 /17 [POU],5.5
JA 9 /20 [POU],6.7
JA 9 /29 [POU],7.9
JA 9 /34 [POU],6.1
JA 9 /37 [POU],7.5
JA 9 /4 [POU],6.5
JA 9 /9 [POU],7.6
LAFI 7,5.4
LCT EEN 57,5.4
LCT EEN 108 /S,4.5
LCT EEN 123,5.5
LCT EEN 162 /S-1010,4.6
LCT EEN 188,5.0
LCT EEN 189,4.6
LCT EEN 193,5.2
LCT EEN 202,5.8
LCT EEN 21 /S-4,4.6
LCT EEN 212 /S-4,5.8
LCT EEN 221,6.8
LCT EEN 23,5.6
LCT EEN 246,4.5
LCT EEN 250,5.0
LCT EEN 253,4.4
LCT EEN 261 /S-4,5.4
LCT EEN 29 /S-1,6.4
LCT EEN 295 /S-10,5.1
LCT EEN 31,5.8
LCT EEN 321 /S-1,6.4
LCT EEN 324 /S-2,6.3
LCT EEN 326,7.5
LCT EEN 327,6.9
LCT EEN 346,6.0
LCT EEN 37,5.0
LCT EEN 37 /F,5.5
LCT EEN 370,5.1
LCT EEN 372 /S-301,4.2
LCT EEN 409,4.7
LCT EEN 411,6.2
LCT EEN 46,7.1
LCT EEN 49,3.9
LCT EEN 6 /S-1,6.2
LCT EEN 60,4.6
LCT EEN 62 /S-4,6.3
LCT EEN 66,6.0
LCT EEN 68 /S-1,5.4
LCT EEN 68 /S-2,5.4
LCT EEN 73 /A,5.4
LCT EEN 81,5.4
LCT EEN 82,5.2
LCT EEN 83 /S-8,7.3
LCT EEN 85,4.9
LCT EEN 86,5.4
LCT EEN 90 /S-7,6.5
LH 1,6.5
LH 5,5.0
LP 1 /18 [POU],5.2
LP 1 /2 [POU],6.6
LP 1 /21 [POU],5.3
LP 1 /23 [POU],6.1
LP 1 /24 [POU],7.2
LP 1 /25 [POU],6.7
LP 1 /28 [POU],4.3
LP 1 /29 [POU],5.8
LP 1 /31 [POU],5.5
LP 1 /32 [POU],4.9
LP 1 /36 [POU],4.5
LP 1 /37 [POU],6.5
LP 1 /39 [POU],6.8
LP 1 /4 [POU],6.4
LP 1 /40 [POU],4.7
LP 1 /41 [POU],5.4
LP 1 /42 [POU],5.7
LP 1 /44 [POU],5.3
LP 1 /45 [POU],5.7
LP 1 /49 [POU],5.4
LP 1 /58 [POU],5.3
LP 1 /61 [POU],5.2
LP 1 /62 [POU],6.3
LP 1 /9 [POU],4.4
LP 2 /1 [POU],4.6
LP 2 /10 [POU],3.9
LP 2 /11 [POU],6.5
LP 2 /13 [POU],6.5
LP 2 /14 [POU],6.2
LP 2 /3 [POU],5.6
LP 2 /9 [POU],5.2
LP 3 /11 [POU],5.6
LP 3 /13 [POU],5.5
LP 3 /15 [POU],6.4
LP 3 /19 [POU],5.5
LP 3 /2 [POU],4.2
LP 3 /20 [POU],6.5
LP 3 /25 [POU],6.3
LP 3 /29 [POU],4.9
LP 3 /3 [POU],7.1
LP 3 /34 [POU],5.2
LP 3 /35 [POU],4.5
LP 3 /38 [POU],5.3
LP 3 /4 [POU],5.9
LP 3 /40 [POU],4.7
LP 3 /45 [POU],5.0
LP 3 /48 [POU],5.9
LP 3 /5 [POU],5.3
LP 4 /1 [POU],5.3
LP 4 /10 [POU],5.7
LP 4 /12 [POU],4.8
LP 4 /13 [POU],5.5
LP 4 /15 [POU],4.6
LP 4 /18 [POU],5.4
LP 4 /19 [POU],5.1
LP 4 /2 [POU],4.6
LP 4 /20 [POU],6.0
LP 4 /24 [POU],6.1
LP 4 /25 [POU],5.0
LP 4 /3 [POU],6.4
LP 4 /30 [POU],6.2
LP 4 /32 [POU],5.1
LP 4 /37 [POU],5.1
LP 4 /38 [POU],5.7
LP 4 /39 [POU],5.2
LP 4 /4 [POU],6.5
LP 4 /41 [POU],4.7
LP 4 /43 [POU],3.2
LP 4 /45 [POU],5.8
