SampleName,Clone name,Data type,Run,Experiment,BioSample,SampleSource
P18,P 18 [POU],genomic,SRR14743847 NCBI ENA,SRX11078275,SAMN19549188,"AGROSAVIA, Colombia"
P7,P 7 [POU],genomic,SRR14743846 NCBI ENA,SRX11078276,SAMN19549189,"AGROSAVIA, Colombia"
PA121,PA 121 [PER],genomic,SRR14743845 NCBI ENA,SRX11078277,SAMN19549190,"AGROSAVIA, Colombia"
PA150,PA 150 [PER],genomic,SRR14743844 NCBI ENA,SRX11078278,SAMN19549191,"AGROSAVIA, Colombia"
PA35,PA 35 [PER],genomic,SRR14743842 NCBI ENA,SRX11078280,SAMN19549192,"AGROSAVIA, Colombia"
PA46,PA 46 [PER],genomic,SRR14743841 NCBI ENA,SRX11078281,SAMN19549193,"AGROSAVIA, Colombia"
PA67,PA 67 [PER],genomic,SRR14743840 NCBI ENA,SRX11078282,SAMN19549194,"AGROSAVIA, Colombia"
PENTAGONA-VERDE,PENTAGONA /VERDE,genomic,SRR14743839 NCBI ENA,SRX11078283,SAMN19549195,"AGROSAVIA, Colombia"
PERSEA1,PERSEA 1,genomic,SRR14743838 NCBI ENA,SRX11078284,SAMN19549196,"AGROSAVIA, Colombia"
PERSEA2,PERSEA 2,genomic,SRR14743837 NCBI ENA,SRX11078285,SAMN19549197,"AGROSAVIA, Colombia"
POBLACION-HUILA,POBLACION-HUILA,genomic,SRR14743836 NCBI ENA,SRX11078286,SAMN19549198,"AGROSAVIA, Colombia"
POBLACION-TUMACO,POBLACION-TUMACO,genomic,SRR14743835 NCBI ENA,SRX11078287,SAMN19549199,"AGROSAVIA, Colombia"
PUEBLO-BELLO,PUEBLO-BELLO,genomic,SRR14743834 NCBI ENA,SRX11078288,SAMN19549200,"AGROSAVIA, Colombia"
R105,R 105 [MEX],genomic,SRR14743833 NCBI ENA,SRX11078289,SAMN19549201,"AGROSAVIA, Colombia"
R13,R 13 [MEX],genomic,SRR14743831 NCBI ENA,SRX11078291,SAMN19549202,"AGROSAVIA, Colombia"
R2,R 2 [MEX],genomic,SRR14743830 NCBI ENA,SRX11078292,SAMN19549203,"AGROSAVIA, Colombia"
R41,R 41 [MEX],genomic,SRR14743829 NCBI ENA,SRX11078293,SAMN19549204,"AGROSAVIA, Colombia"
SAN-MARTIN,SAN MARTINERO,genomic,SRR14743828 NCBI ENA,SRX11078294,SAMN19549205,"AGROSAVIA, Colombia"
SC1,SC 1 [COL],genomic,SRR14743827 NCBI ENA,SRX11078295,SAMN19549206,"AGROSAVIA, Colombia"
SC11,SC 11 [COL],genomic,SRR14743826 NCBI ENA,SRX11078296,SAMN19549207,"AGROSAVIA, Colombia"
SC14,SC 14 [COL],genomic,SRR14743825 NCBI ENA,SRX11078297,SAMN19549208,"AGROSAVIA, Colombia"
SC24,SC 24 [COL],genomic,SRR14743824 NCBI ENA,SRX11078298,SAMN19549209,"AGROSAVIA, Colombia"
SC32,SC 32 [COL],genomic,SRR14743823 NCBI ENA,SRX11078299,SAMN19549210,"AGROSAVIA, Colombia"
SC34,SC 34 [COL],genomic,SRR14743822 NCBI ENA,SRX11078300,SAMN19549211,"AGROSAVIA, Colombia"
SC38,SC 38 [COL],genomic,SRR14743820 NCBI ENA,SRX11078302,SAMN19549212,"AGROSAVIA, Colombia"
SC41,SC 41 [COL],genomic,SRR14743819 NCBI ENA,SRX11078303,SAMN19549213,"AGROSAVIA, Colombia"
SC45,SC 45 [COL],genomic,SRR14743818 NCBI ENA,SRX11078304,SAMN19549214,"AGROSAVIA, Colombia"
SC49,SC 49 [COL],genomic,SRR14743817 NCBI ENA,SRX11078305,SAMN19549215,"AGROSAVIA, Colombia"
SC5,SC 5 [COL],genomic,SRR14743816 NCBI ENA,SRX11078306,SAMN19549216,"AGROSAVIA, Colombia"
SC51,SC 51 [COL],genomic,SRR14743815 NCBI ENA,SRX11078307,SAMN19549217,"AGROSAVIA, Colombia"
SC56,SC 56 [COL],genomic,SRR14743814 NCBI ENA,SRX11078308,SAMN19549218,"AGROSAVIA, Colombia"
SC6,SC 6 [COL],genomic,SRR14743813 NCBI ENA,SRX11078309,SAMN19549219,"AGROSAVIA, Colombia"
SCA12,SCA 12,genomic,SRR14743812 NCBI ENA,SRX11078310,SAMN19549220,"AGROSAVIA, Colombia"
SCA6,SCA 6,genomic,SRR14743811 NCBI ENA,SRX11078311,SAMN19549221,"AGROSAVIA, Colombia"
SCA9,SCA 9,genomic,SRR14743809 NCBI ENA,SRX11078313,SAMN19549222,"AGROSAVIA, Colombia"
SCC21,SCC 21 [COR],genomic,SRR14743808 NCBI ENA,SRX11078314,SAMN19549223,"AGROSAVIA, Colombia"
SCC61,SCC 61 [COR],genomic,SRR14743807 NCBI ENA,SRX11078315,SAMN19549224,"AGROSAVIA, Colombia"
SCC85,SCC 85 [COR],genomic,SRR14743806 NCBI ENA,SRX11078316,SAMN19549225,"AGROSAVIA, Colombia"
SCC86,SCC 86 [COR],genomic,SRR14743805 NCBI ENA,SRX11078317,SAMN19549226,"AGROSAVIA, Colombia"
SM1,SM 1 [CHA],genomic,SRR14743804 NCBI ENA,SRX11078318,SAMN19549227,"AGROSAVIA, Colombia"
SOPETRAN12,SOPETRAN 12,genomic,SRR14743803 NCBI ENA,SRX11078319,SAMN19549228,"AGROSAVIA, Colombia"
SPA10,SPA 10 [COL],genomic,SRR14743802 NCBI ENA,SRX11078320,SAMN19549229,"AGROSAVIA, Colombia"
SPA12,SPA 12 [COL],genomic,SRR14743801 NCBI ENA,SRX11078321,SAMN19549230,"AGROSAVIA, Colombia"
SPA13,SPA 13 [COL],genomic,SRR14743800 NCBI ENA,SRX11078322,SAMN19549231,"AGROSAVIA, Colombia"
SPA19,SPA 19 [COL],genomic,SRR14743798 NCBI ENA,SRX11078324,SAMN19549232,"AGROSAVIA, Colombia"
