Clone name,Colour
CRU 128,moderate anthocyanin
CRU 129,moderate anthocyanin
CRU 13,moderate anthocyanin
CRU 130,moderate anthocyanin
CRU 131,intense anthocyanin
CRU 132,slight anthocyanin
CRU 133,anthocyanin absent
CRU 134,intense anthocyanin
CRU 135,moderate anthocyanin
CRU 136,moderate anthocyanin
CRU 137,moderate anthocyanin
CRU 138,slight anthocyanin
CRU 142,moderate anthocyanin
CRU 146,moderate anthocyanin
CRU 147,slight anthocyanin
CRU 153,slight anthocyanin
CRU 154,slight anthocyanin
CRU 156 (MIS_TTOICGT_GU 175 /P),intense anthocyanin
CRU 19,moderate anthocyanin
CRU 21,slight anthocyanin
CRU 255,moderate anthocyanin
CRU 263,moderate anthocyanin
CRU 27,slight anthocyanin
CRU 270,slight anthocyanin
CRU 271 (MIS_TTO005_ICS 55),moderate anthocyanin
CRU 28,slight anthocyanin
CRU 32,intense anthocyanin
CRU 34,slight anthocyanin
CRU 35,moderate anthocyanin
CRU 37,moderate anthocyanin
CRU 38,slight anthocyanin
CRU 40,slight anthocyanin
CRU 47,slight anthocyanin
CRU 4A /1,slight anthocyanin
CRU 4A /10,intense anthocyanin
CRU 4A/11,moderate anthocyanin
CRU 4 A /2,moderate anthocyanin
CRU 4A /3,slight anthocyanin
CRU 4A/4,slight anthocyanin
CRU 4A /5,slight anthocyanin
CRU 4A /6,slight anthocyanin
CRU 4A /7,moderate anthocyanin
CRU 4A/8,slight anthocyanin
CRU 4A/9,moderate anthocyanin
CRU 5,moderate anthocyanin
CRU 51,slight anthocyanin
CRU 54,slight anthocyanin
CRU 56,slight anthocyanin
CRU 57,moderate anthocyanin
CRU 59,slight anthocyanin
CRU 5A /1,moderate anthocyanin
CRU 5A /2,slight anthocyanin
CRU 5A /3,intense anthocyanin
CRU 5A /4,intense anthocyanin
CRU 5A /5,intense anthocyanin
CRU 5A /6,slight anthocyanin
CRU 5B /10,intense anthocyanin
CRU 5B /12,moderate anthocyanin
CRU 5B /13,intense anthocyanin
CRU 5B /14,intense anthocyanin
CRU 5B /16,slight anthocyanin
CRU 5B /17,slight anthocyanin
CRU 5B /18,moderate anthocyanin
CRU 5B /19,slight anthocyanin
CRU 5B /2,slight anthocyanin
CRU 5B /20,slight anthocyanin
CRU 5B /21,intense anthocyanin
CRU 5B /22,slight anthocyanin
CRU 5B /23,moderate anthocyanin
CRU 5B /24,moderate anthocyanin
CRU 5B /25,moderate anthocyanin
CRU 5B /27,moderate anthocyanin
CRU 5B /3,slight anthocyanin
CRU 5B /4,intense anthocyanin
CRU 5B /9,slight anthocyanin
CRU 6 /B-1,anthocyanin absent
CRU 6 /B-2,anthocyanin absent
CRU 6 /B-3,anthocyanin absent
CRU 63,moderate anthocyanin
CRU 64,moderate anthocyanin
CRU 69,slight anthocyanin
CRU 7,intense anthocyanin
CRU 70,slight anthocyanin
CRU 72,moderate anthocyanin
CRU 73,slight anthocyanin
CRU 74,slight anthocyanin
CRU 77,slight anthocyanin
