Clone name,Length,Width,L w ratio,Basal angle,Apical angle,Petiole length,Pulvinus length,Notes
POUND 27 /C,288.0,105.0,2.8,142.1,84.5,13,7,Data collected on 17/12/1991
POUND 31 /A,220.0,97.0,2.3,123.7,76.5,12,13,Data collected on 17/05/1991
POUND 31 /C,262.0,119.0,2.2,126.3,80.8,14,13,Data collected on 10/04/1991
POUND 32 /A,262.0,103.0,2.6,119.6,62.7,14,12,Data collected on 10/04/1991
POUND 4 /A,282.0,109.0,2.6,121.1,64.9,24,18,Data collected on 08/04/1991
POUND 5 /B,280.0,103.0,2.7,120.2,59.7,14,13,Data collected on 05/04/1991
POUND 5 /C,307.0,106.0,2.9,121.1,57.9,14,13,Data collected on 08/04/1991
POUND 7 /A,342.0,122.0,2.8,117.2,58.8,18,11,Data collected on 10/04/1991
POUND 7 /B,309.0,113.0,2.7,143.7,59.6,16,10,Data collected on 15/03/1991
POUND 7 /C,328.0,115.0,2.9,120.5,58.9,18,15,Data collected on 15/03/1991
POUND 8 /C,256.0,101.0,2.6,107.8,91.1,12,4,Data collected on 15/08/1991
POUND 9 /B,319.0,115.0,2.8,123.3,61.6,23,16,Data collected on 15/03/1991
RB 29 [BRA],313.0,119.0,2.6,107.1,73.0,22,16,Data collected on 28/06/1991
REDAMEL 1 /27,260.0,107.0,2.5,127.3,94.2,8,13,Data collected on 29/08/1990
REDAMEL 1 /31,284.0,106.0,2.7,104.8,70.8,24,17,Data collected on 11/06/1991
SAN MIGUEL 3161 [CHA],256.0,112.0,2.3,125.4,77.4,21,21,Data collected on 31/05/1991
SCA 10,267.0,105.0,2.6,143.1,64.7,11,5,Data collected on 17/05/1991
SCA 11,249.0,89.0,2.8,119.2,88.2,17,10,Data collected on 14/11/1991
SCA 3,191.0,71.0,2.7,108.0,81.5,7,13,Data collected on 19/01/1990
SCA 5,259.0,101.0,2.6,118.9,77.5,18,12,Data collected on 22/03/1991
SCA 6,236.0,71.0,3.3,96.5,72.5,18,14,Data collected on 03/01/1990
SCA 7,238.0,85.0,2.8,111.6,80.7,6,10,Data collected on 19/01/1990
SCA 9,289.0,107.0,2.7,137.1,88.5,15,11,Data collected on 18/12/1991
SNK 12,269.0,101.0,2.7,142.6,96.6,27,15,Data collected on 12/12/1991
SPA 10 [COL],316.0,105.0,3.0,114.9,59.0,16,12,Data collected on 03/04/1991
SPA 3 [COL],255.0,100.0,2.6,115.2,77.8,15,13,Data collected on 22/03/1991
SPA 4 [COL],229.0,82.0,2.8,105.3,82.4,19,13,Data collected on 10/09/1990
SPA 5 [COL],298.0,106.0,2.8,113.8,62.7,23,17,Data collected on 03/04/1991
SPA 7 [COL],228.0,98.0,2.3,111.8,71.7,19,16,Data collected on 26/06/1991
SPA 9 [COL],237.0,98.0,2.4,115.4,71.5,9,12,Data collected on 03/05/1991
SPEC 138 /11,279.0,85.0,3.3,109.9,59.4,18,15,Data collected on 28/08/1991
SPEC 160 /9,252.0,99.0,2.6,132.7,72.4,19,14,Data collected on 28/08/1991
SPEC 184 /15,272.0,98.0,2.8,126.6,83.5,18,16,Data collected on 04/09/1991
SPEC 189 /14,249.0,86.0,2.9,132.7,85.2,16,16,Data collected on 18/09/1991
SPEC 194 /103,290.0,118.0,2.5,131.8,70.0,23,15,Data collected on 17/05/1991
SPEC 194 /16,219.0,66.0,3.3,117.8,56.4,14,9,Data collected on 17/05/1991
SPEC 194 /48,220.0,84.0,2.6,119.0,92.6,21,11,Data collected on 06/01/1992
SPEC 41 /6-18,273.0,92.0,3.0,142.2,82.3,15,13,Data collected on 03/01/1992
SPEC 41 /6-25,255.0,89.0,2.9,143.2,73.2,17,13,Data collected on 27/08/1991
SPEC 41 /6-37,272.0,94.0,3.0,145.2,90.5,17,13,Data collected on 04/11/1991
UF 11,265.0,98.0,2.7,94.8,76.2,23,17,Data collected on 06/09/1991
UF 12,265.0,98.0,2.7,93.5,76.1,20,19,Data collected on 06/09/1991
UF 168,277.0,96.0,2.9,123.0,69.8,22,16,Data collected on 21/08/1991
UF 29,252.0,92.0,2.8,139.7,91.9,18,13,Data collected on 01/11/1991
UF 667,222.0,78.0,2.8,109.3,58.9,16,13,Data collected on 14/06/1991
UF 668,267.0,99.0,2.7,121.2,64.5,21,15,Data collected on 14/06/1991
UF 677,262.0,91.0,2.9,106.8,73.0,23,18,Data collected on 06/09/1991
VEN A 58 [ICT],309.0,117.0,2.7,128.6,66.6,18,16,Data collected on 04/04/1991
VEN B 47 [ICT],310.0,103.0,3.0,125.2,60.0,26,17,Data collected on 04/04/1991
VEN B 66 [ICT],279.0,115.0,2.5,107.1,83.0,21,22,Data collected on 08/04/1991
