Clone name,Basal constriction,Apex form,Rugosity,Ridge desc,Length,Breadth,Weight,Husk weight,Length breadth ratio
GU 283,absent,rounded,moderate - intense,"prominant ridges arranged in pairs (GUY___DC, 2 an",150.0,90.0,420.0,295.0,1.67
GU 284,slight,rounded,slight - moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",150.0,95.0,480.0,280.0,1.58
GU 285,slight,rounded,slight,"prominant ridges arranged in pairs (GUY___DC, 2 an",135.0,80.0,310.0,235.0,1.69
GU 286,slight,acute,slight,"prominant ridges arranged in pairs (GUY___DC, 2 an",190.0,100.0,700.0,440.0,1.90
GU 287,moderate,rounded,slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",100.0,60.0,170.0,135.0,1.67
GU 288,moderate,-,slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",120.0,75.0,220.0,150.0,1.60
GU 289,moderate,acute,moderate - intense,"prominant ridges arranged in pairs (GUY___DC, 2 an",180.0,85.0,430.0,300.0,2.12
GU 290,slight,acute,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",170.0,90.0,470.0,340.0,1.89
GU 291,slight,acute,slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",110.0,70.0,190.0,150.0,1.57
GU 292,slight,acute,moderate - intense,"prominant ridges arranged in pairs (GUY___DC, 2 an",170.0,95.0,470.0,360.0,1.79
GU 293,slight,acute,slight - moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",180.0,95.0,500.0,380.0,1.89
GU 294,very slight,rounded,very slight - slight,"prominant ridges arranged in pairs (GUY___DC, 2 an",145.0,90.0,340.0,220.0,1.61
GU 295,very slight,rounded,very slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",115.0,85.0,325.0,225.0,1.35
GU 296,very slight,rounded,very slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",110.0,80.0,260.0,150.0,1.38
GU 297,slight,rounded,very slight - slight,"prominant ridges arranged in pairs (GUY___DC, 2 an",150.0,90.0,445.0,320.0,1.67
GU 298,slight - moderate,acute,slight,"prominant ridges arranged in pairs (GUY___DC, 2 an",130.0,75.0,250.0,190.0,1.73
GU 299,slight,acute,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",120.0,75.0,255.0,195.0,1.60
GU 300,slight,acute,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",110.0,80.0,220.0,180.0,1.38
GU 301,slight,acute,slight - moderate,"indistinct ridges arranged in pairs (GUY___DC, 1 a",140.0,80.0,260.0,175.0,1.75
GU 302,slight,rounded,very slight - slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",135.0,85.0,350.0,240.0,1.59
GU 303,moderate,acute,moderate,"indistinct ridges arranged in pairs (GUY___DC, 1 a",120.0,80.0,260.0,215.0,1.50
GU 304,slight,-,slight - moderate,"indistinct ridges evenly spaced (GUY___DC, 1 and 1",105.0,65.0,160.0,125.0,1.62
GU 305,slight,-,slight - moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",150.0,90.0,350.0,280.0,1.67
GU 306,moderate,acute,slight - moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",140.0,80.0,265.0,190.0,1.75
GU 307,slight,rounded,slight - moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",100.0,70.0,170.0,130.0,1.43
GU 308,slight,rounded,slight,"prominant ridges arranged in pairs (GUY___DC, 2 an",170.0,95.0,530.0,400.0,1.79
GU 309,slight,mammillate,very slight - slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",120.0,80.0,260.0,200.0,1.50
GU 310,slight,mammillate,slight - moderate,"indistinct ridges arranged in pairs (GUY___DC, 1 a",120.0,80.0,240.0,170.0,1.50
GU 311,slight,-,very slight - slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",110.0,75.0,225.0,170.0,1.47
GU 312,slight,-,very slight - slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",110.0,70.0,180.0,140.0,1.57
GU 313,slight,acute,slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",105.0,70.0,200.0,150.0,1.50
GU 314,slight,rounded,very slight - slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",85.0,70.0,140.0,110.0,1.21
GU 315,slight,acute,very slight - slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",190.0,90.0,565.0,420.0,2.11
GU 316,slight,acute,very slight - slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",115.0,80.0,240.0,160.0,1.44
GU 317,slight,-,slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",110.0,75.0,205.0,150.0,1.47
GU 318,slight,acute,slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",105.0,70.0,280.0,250.0,1.50
GU 319,slight,rounded,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",110.0,80.0,245.0,200.0,1.38
GU 320,slight,rounded,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",120.0,80.0,250.0,190.0,1.50
GU 321,moderate,rounded,slight,"prominant ridges arranged in pairs (GUY___DC, 2 an",150.0,85.0,370.0,260.0,1.76
GU 322,moderate,rounded,slight,"prominant ridges arranged in pairs (GUY___DC, 2 an",145.0,85.0,320.0,220.0,1.71
GU 323,moderate,-,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",155.0,90.0,445.0,355.0,1.72
GU 324,moderate,rounded,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",125.0,80.0,240.0,190.0,1.56
GU 325,slight,rounded,slight,"indistinct ridges arranged in pairs (GUY___DC, 1 a",140.0,85.0,350.0,255.0,1.65
GU 326,pronounced,rounded,moderate,"prominant ridges arranged in pairs (GUY___DC, 2 an",130.0,80.0,200.0,170.0,1.63
