Clone name,Pathogen,Reaction,Info,Part,Notes
RV-ID 12,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SCA 6,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SGU 26,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIAL 105,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIAL 12,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIAL 130,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIAL 15,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIAL 163,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIAL 164,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIAL 180,Ceratosystis,susceptible,Based on the production of perithecia.,Branch,Classed as Very Susceptible
SIAL 244,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIAL 325,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIAL 407,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,Also classed as Very Susceptible based on perithecia production.
SIAL 495,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIAL 505,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIAL 512,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIAL 543,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIAL 577,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,-
SIAL 578,Ceratosystis,susceptible,Based on mycelium growth and the production of perithecia.,Branch,Classed as Very Susceptible
SIAL 580,Ceratosystis,susceptible,Based on the production of perithecia.,Branch,Classed as Very Susceptible
SIAL 689,Ceratosystis,moderate resistance,Based on mycelium growth.,Branch,-
