Clone name,Ligule colour,Stamen colour,Sepal width,Sepal length,Ligule width,Ovule number,Style length
CL 19 /41,slight anthocyanin,moderate anthocyanin,-,7.44,2.25,41,1.85
CL 19 /42,anthocyanin absent,intense anthocyanin,-,7.84,2.79,42,2.94
CL 19 /44,anthocyanin absent,moderate anthocyanin,-,7.46,2.45,38,2.84
CL 19 /47,slight anthocyanin,slight anthocyanin,-,8.75,2.75,40,2.76
CL 19 /49,slight anthocyanin,slight anthocyanin,-,7.84,2.71,43,2.51
CL 19 /51,slight anthocyanin,slight anthocyanin,-,6.55,1.71,41,1.83
CL 19 /9,anthocyanin absent,intense anthocyanin,-,9.29,2.96,44,3.15
CL 27 /105,slight anthocyanin,intense anthocyanin,-,9.1,2.1,41,2.86
CL 27 /109,moderate anthocyanin,intense anthocyanin,-,6.84,2.06,45,2.21
CL 27 /111,moderate anthocyanin,intense anthocyanin,-,8.4,2.54,42,2.55
CL 27 /116,slight anthocyanin,slight anthocyanin,-,6.61,1.95,38,2.07
CL 27 /14,anthocyanin absent,anthocyanin absent,-,8.84,2.24,37,2.3
CL 27 /21,slight anthocyanin,anthocyanin absent,-,7.45,1.87,41,1.84
CL 27 /27,intense anthocyanin,intense anthocyanin,-,8.27,2.57,38,2.41
CL 27 /34,anthocyanin absent,intense anthocyanin,-,8.32,2.66,42,2.81
CL 27 /39,slight anthocyanin,intense anthocyanin,-,7.66,2.33,44,2.59
CL 27 /43,anthocyanin absent,intense anthocyanin,-,8.23,2.76,39,2.46
CL 27 /46,moderate anthocyanin,intense anthocyanin,-,8.48,2.51,43,2.51
CL 27 /49,slight anthocyanin,moderate anthocyanin,-,8.91,3.08,42,3.37
CL 27 /50,anthocyanin absent,slight anthocyanin,-,10.53,2.82,43,2.77
CL 27 /53,intense anthocyanin,slight anthocyanin,-,6.45,2.26,41,2.17
CL 27 /58,anthocyanin absent,moderate anthocyanin,-,8.13,3.05,42,2.38
CL 27 /61,slight anthocyanin,intense anthocyanin,-,8.33,2.16,42,2.6
CL 27 /7,slight anthocyanin,slight anthocyanin,-,7.8,2.54,33,2.8
CL 27 /71,intense anthocyanin,moderate anthocyanin,-,7.66,3.06,42,2.68
CL 27 /72,moderate anthocyanin,moderate anthocyanin,-,8.22,2.93,41,2.83
CL 27 /74,anthocyanin absent,intense anthocyanin,-,8.24,3.02,43,2.8
CL 27 /76,anthocyanin absent,slight anthocyanin,-,9.13,3.2,54,2.79
CL 27 /79,slight anthocyanin,intense anthocyanin,-,7.49,2.44,41,2.13
CL 27 /96,slight anthocyanin,intense anthocyanin,-,7.44,2.43,37,2.13
CL 78 /2,slight anthocyanin,slight anthocyanin,-,9.06,2.61,44,2.86
CL 78 /3,moderate anthocyanin,slight anthocyanin,-,7.98,2.56,39,2.25
