Clone name,Colour,Notes
SM 2 [SAO],reddish brown,Translation of Methuen colour codes.
SNK 12,reddish brown,Translation of Methuen colour codes.
SPA 10 [COL],reddish brown,Translation of Methuen colour codes.
SPA 11 [COL],greyish yellow,Translation of Methuen colour codes.
SPA 12 [COL],brownish orange,Translation of Methuen colour codes.
SPA 17 [COL],brownish orange,Translation of Methuen colour codes.
SPA 4 [COL],brownish red,Translation of Methuen colour codes.
SPA 5 [COL],reddish brown,Translation of Methuen colour codes.
SPA 7 [COL],greyish yellow,Translation of Methuen colour codes.
SPA 9 [COL],deep green,Translation of Methuen colour codes.
STICA 100,reddish brown,Translation of Methuen colour codes.
TJ 1,deep green,Translation of Methuen colour codes.
TSA 644,brownish orange,Translation of Methuen colour codes.
TSAN 792,brownish red,Translation of Methuen colour codes.
TSAN 812,brownish red,Translation of Methuen colour codes.
TSH 565,reddish brown,Translation of Methuen colour codes.
TSH 565,light brown,Translation of Methuen colour codes.
TSH 565,light brown,Translation of Methuen colour codes.
UF 10,brownish red,Translation of Methuen colour codes.
UF 11,brownish red,Translation of Methuen colour codes.
UF 12,brownish red,Translation of Methuen colour codes.
UF 122,reddish brown,Translation of Methuen colour codes.
UF 168,light brown,Translation of Methuen colour codes.
UF 20,brownish orange,Translation of Methuen colour codes.
UF 210,reddish brown,Translation of Methuen colour codes.
UF 221,brownish orange,Translation of Methuen colour codes.
UF 242,light brown,Translation of Methuen colour codes.
UF 273,violet brown,Translation of Methuen colour codes.
UF 29,brownish orange,Translation of Methuen colour codes.
UF 296,reddish brown,Translation of Methuen colour codes.
UF 296,reddish brown,Translation of Methuen colour codes.
UF 36,reddish brown,Translation of Methuen colour codes.
UF 36,reddish brown,Translation of Methuen colour codes.
UF 4,brownish red,Translation of Methuen colour codes.
UF 601,reddish brown,Translation of Methuen colour codes.
UF 602,reddish brown,Translation of Methuen colour codes.
UF 613,reddish brown,Translation of Methuen colour codes.
UF 613,reddish brown,Translation of Methuen colour codes.
UF 650,reddish brown,Translation of Methuen colour codes.
UF 654,reddish brown,Translation of Methuen colour codes.
UF 666,reddish brown,Translation of Methuen colour codes.
UF 667,brownish red,Translation of Methuen colour codes.
UF 667,reddish brown,Translation of Methuen colour codes.
UF 667,reddish brown,Translation of Methuen colour codes.
UF 668,reddish brown,Translation of Methuen colour codes.
UF 672,reddish brown,Translation of Methuen colour codes.
UF 676,brownish orange,Translation of Methuen colour codes.
UF 677,reddish brown,Translation of Methuen colour codes.
UF 700,dark brown,Translation of Methuen colour codes.
UF 700,reddish brown,Translation of Methuen colour codes.
UF 701,light brown,Translation of Methuen colour codes.
UF 703,brownish orange,Translation of Methuen colour codes.
UF 704,brownish orange,Translation of Methuen colour codes.
