Clone name,Pathogen,Reaction,Part
EET 59 [ECU],Witches' Broom,susceptible,Field Reaction
GS 10,Witches' Broom,resistant,Field Reaction
GS 67,Witches' Broom,susceptible,Field Reaction
GS 77,Witches' Broom,susceptible,Field Reaction
ICS 10,Phytophthora,resistant,
ICS 10,Witches' Broom,susceptible,Field Reaction
ICS 18,Phytophthora,resistant,
ICS 18,Witches' Broom,susceptible,Field Reaction
ICS 25,Phytophthora,resistant,
ICS 25,Witches' Broom,susceptible,Field Reaction
ICS 32,Phytophthora,resistant,
ICS 32,Witches' Broom,resistant,Field Reaction
ICS 40,Phytophthora,resistant,
ICS 40,Witches' Broom,resistant,Field Reaction
ICS 45,Phytophthora,resistant,
ICS 45,Witches' Broom,resistant,Field Reaction
ICS 46,Phytophthora,resistant,
ICS 46,Witches' Broom,susceptible,Field Reaction
ICS 47,Phytophthora,resistant,
ICS 47,Witches' Broom,susceptible,Field Reaction
ICS 49,Phytophthora,resistant,
ICS 49,Witches' Broom,susceptible,Field Reaction
ICS 63,Phytophthora,resistant,
ICS 63,Witches' Broom,resistant,Field Reaction
ICS 76,Phytophthora,resistant,
ICS 76,Witches' Broom,resistant,Field Reaction
ICS 8,Phytophthora,resistant,
ICS 8,Witches' Broom,susceptible,Field Reaction
ICS 86,Phytophthora,resistant,
ICS 89,Phytophthora,resistant,
ICS 89,Witches' Broom,susceptible,Field Reaction
ICS 93,Phytophthora,resistant,
ICS 93,Witches' Broom,susceptible,Field Reaction
ICS 94,Phytophthora,resistant,
ICS 94,Witches' Broom,susceptible,Field Reaction
ICS 95,Phytophthora,resistant,
IMC 103,Phytophthora,resistant,
IMC 103,Witches' Broom,resistant,Field Reaction
IMC 105,Phytophthora,resistant,
IMC 107,Phytophthora,resistant,
IMC 107,Witches' Broom,resistant,Field Reaction
IMC 16,Phytophthora,resistant,
IMC 16,Witches' Broom,resistant,Field Reaction
IMC 27,Phytophthora,resistant,
IMC 27,Witches' Broom,resistant,Field Reaction
IMC 27,Ceratosystis,resistant,
IMC 38,Phytophthora,resistant,
IMC 39,Phytophthora,resistant,
IMC 39,Witches' Broom,resistant,Field Reaction
IMC 41,Phytophthora,resistant,
IMC 41,Witches' Broom,susceptible,Field Reaction
IMC 47,Witches' Broom,resistant,Field Reaction
IMC 47,Vascular Streak Dieback,susceptible,
IMC 54,Phytophthora,resistant,
IMC 65,Phytophthora,resistant,
IMC 65,Witches' Broom,resistant,Field Reaction
IMC 78,Phytophthora,resistant,
IMC 78,Witches' Broom,resistant,Field Reaction
IMC 94,Phytophthora,resistant,
JA 1 /10 [POU],Witches' Broom,resistant,Field Reaction
JA 1 /20 [POU],Witches' Broom,resistant,Field Reaction
JA 1 /21 [POU],Witches' Broom,resistant,Field Reaction
JA 10 /52 [POU],Witches' Broom,resistant,Field Reaction
JA 2 /8 [POU],Witches' Broom,resistant,Field Reaction
JA 3 /20 [POU],Witches' Broom,resistant,Field Reaction
JA 4 /7 [POU],Witches' Broom,resistant,Field Reaction
JA 5 /12 [POU],Witches' Broom,resistant,Field Reaction
JA 5 /41 [POU],Witches' Broom,resistant,Field Reaction
JA 5 /8 [POU],Witches' Broom,resistant,Field Reaction
JA 8 /16 [POU],Witches' Broom,resistant,Field Reaction
JA 8 /24 [POU],Witches' Broom,resistant,Field Reaction
JA 9 /14 [POU],Witches' Broom,resistant,Field Reaction
LCT EEN 15 /S-3,Phytophthora,resistant,
LCT EEN 15 /S-3,Witches' Broom,resistant,Field Reaction
LCT EEN 280,Phytophthora,resistant,
LCT EEN 280,Witches' Broom,resistant,Field Reaction
LP 1 /10 [POU],Witches' Broom,resistant,Field Reaction
LP 1 /37 [POU],Witches' Broom,resistant,Field Reaction
LP 1 /4 [POU],Witches' Broom,resistant,Field Reaction
LP 1 /44 [POU],Witches' Broom,resistant,Field Reaction
LP 1 /45 [POU],Witches' Broom,resistant,Field Reaction
LP 1 /46 [POU],Witches' Broom,resistant,Field Reaction
LP 3 /5 [POU],Witches' Broom,resistant,Field Reaction
LP 4 /18 [POU],Witches' Broom,resistant,Field Reaction
LP 4 /24 [POU],Witches' Broom,resistant,Field Reaction
LP 4 /32 [POU],Witches' Broom,resistant,Field Reaction
LP 5 /8 [POU],Witches' Broom,resistant,Field Reaction
